一艘船;"/i˥˩ soʊ˥˥ ʈʂʰwan˧˥;0
一表人才;/i˥˩ pjɑʊ˨˩˦ ʐən˧˥ tsʰaɪ˧˥/;0
一见倾心;/i˧˥ tɕjɛn˥˩ tɕʰɪŋ˥˥ ɕɪn˥˥/;0
一见如故;/i˧˥ tɕjɛn˥˩ ʐu˧˥ ku˥˩/;0
一见钟情;/i˧˥ tɕjɛn˥˩ ʈʂʊŋ˥˥ tɕʰɪŋ˧˥/;0
一视同仁;/i˧˥ ʂɚ˥˩ tʰʊŋ˧˥ ʐən˧˥/;0
一览无遗;/i˥˩ lan˨˩˦ u˧˥ i˧˥/;0
一言中的;/i˥˩ jɛn˧˥ ʈʂʊŋ˥˩ ti˥˩/;0
一言为定;/i˥˩ jɛn˧˥ weɪ˧˥ tɪŋ˥˩/;0
一言九鼎;/i˥˩ jɛn˧˥ tɕjoʊ˨˩˦ tɪŋ˨˩˦/;0
一言半语;/i˥˩ jɛn˧˥ pan˥˩ y˨˩˦/;0
一言既出，驷马难追;/i˥˩ jɛn˧˥ tɕi˥˩ ʈʂʰu˥˥ sɯ˥˩ ma˨˩˦ nan˧˥ ʈʂweɪ˥˥/;0
一言难尽;/i˧˥ jɛn˧˥ nan˧˥ tɕɪn˥˩/;0
一言难罄;/i˥˩ jɛn˧˥ nan˧˥ tɕʰɪŋ˥˩/;0
一诺千金;/i˧˥ nuɔ˥˩ tɕʰjɛn˥˥ tɕɪn˥˥/;0
一贫如洗;/i˥˩ pʰɪn˧˥ ʐu˧˥ ɕi˨˩˦/;0
一贯;/i˧˥ kwan˥˩/;0
一起;/i˥˩ tɕʰi˨˩˦/;0
一路平安;/i˧˥ lu˥˩ pʰɪŋ˧˥ an˥˥/;0
一路顺风;/i˧˥ lu˥˩ ʂuən˥˩ fɤŋ˥˥/;0
一蹴而就;/i˧˥ tsʰu˥˩ aɻ˧˥ tɕjoʊ˥˩/;0
一蹶不振;/i˥˩ tɕɥœ˧˥ pu˧˥ ʈʂən˥˩/;0
一边倒;/i˥˩ pjɛn˥˥ tɑʊ˨˩˦/;0
一通;/i˧˥ tʰʊŋ˥˩/;0
一针见血;/i˥˩ ʈʂən˥˥ tɕjɛn˥˩ ɕjɛ˨˩˦/;0
一隅;/i˥˩ y˧˥/;0
一面;/i˧˥ mjɛn˥˩/;0
一面之缘;/i˧˥ mjɛn˥˩ ʈʂɚ˥˥ ɥœn˧˥/;0
一面之词;/i˧˥ mjɛn˥˩ ʈʂɚ˥˥ tsʰɯ˧˥/;0
一面之辞;/i˧˥ mjɛn˥˩ ʈʂɚ˥˥ tsʰɯ˧˥/;0
一面倒;/i˧˥ mjɛn˥˩ tɑʊ˨˩˦/;0
一马当先;/i˥˩ ma˨˩˦ tɑŋ˥˥ ɕjɛn˥˥/;0
一驮粮;/i˧˥ tuɔ˥˩ ljɑŋ˧˥/;0
一骑;"/i˥˩ tɕʰi˧˥;0
一骨碌;/i˥˩ ku˨˩˦ lu˥˩/;0
一鸣惊人;/i˥˩ mɪŋ˧˥ tɕɪŋ˥˥ ʐən˧˥/;0
丁;"/tɪŋ˥˥;0
丁丑;/tɪŋ˥˥ ʈʂʰoʊ˨˩˦/;0
丁丑年;/tɪŋ˥˥ ʈʂʰoʊ˨˩˦ njɛn˧˥/;0
丁亥;/tɪŋ˥˥ xaɪ˥˩/;0
丁亥年;/tɪŋ˥˥ xaɪ˥˩ njɛn˧˥/;0
丁卯;/tɪŋ˥˥ mɑʊ˨˩˦/;0
丁卯年;/tɪŋ˥˥ mɑʊ˨˩˦ njɛn˧˥/;0
丁巳;/tɪŋ˥˥ sɯ˥˩/;0
丁巳年;/tɪŋ˥˥ sɯ˥˩ njɛn˧˥/;0
丁未;/tɪŋ˥˥ weɪ˥˩/;0
丁未年;/tɪŋ˥˥ weɪ˥˩ njɛn˧˥/;0
丁点;/tɪŋ˥˥ tjɛn˨˩˦/;0
丁酉;/tɪŋ˥˥ joʊ˨˩˦/;0
丁酉年;/tɪŋ˥˥ joʊ˨˩˦ njɛn˧˥/;0
丂;"/kʰɑʊ˨˩˦;0
七;/tɕʰi˥˥/;0
七上八下;/tɕʰi˥˥ ʂɑŋ˥˩ pa˥˥ ɕja˥˩/;0
七嘴八舌;/tɕʰi˥˥ tsweɪ˨˩˦ pa˥˥ ʂɤ˧˥/;0
七情;/tɕʰi˥˥ tɕʰɪŋ˧˥/;0
七情六欲;/tɕʰi˥˥ tɕʰɪŋ˧˥ ljoʊ˥˩ y˥˩/;0
七成;/tɕʰi˥˥ ʈʂʰɤŋ˧˥/;0
